сегодня в 07:42  Состоялся релиз Star Wars Jedi Survivor на ПК и консолях - портал IGN показал первые минуты игры
вчера в 21:56  HD-2D ремейк ролевой игры LIVE A LIVE вышел на ПК и консолях PlayStation
вчера в 21:19  Хоррор-платформер Carrion добрался до PS5
вчера в 20:33  Galactic Civilizations IV: Supernova вышла в раннем доступе вместе с интеграцией ChatGPT: AlienGPT
вчера в 19:38  Скандинавский сказочный экшен-хоррор Bramble: The Mountain King вышел на ПК и консолях
вчера в 19:11  Состоялся релиз атмосферной метроидвании The Last Case of Benedict Fox
вчера в 15:13  LEGO Bricktales вышла на мобильных платформах
вчера в 14:19  На ПК и Nintendo Switch состоялся релиз пошаговой стратегической карточной игры Ash of Gods: The Way
вчера в 13:17  VK Play обзавелся еще одним эксклюзивом - Состоялся выход пошаговой стратегии Revival: Recolonization
26 апреля  Бесплатный пролог Ship Graveyard Simulator 2 стал доступен в Steam
26 апреля  Состоялся выход GOTY-издания для Evil Dead: The Game вместе с релизом в Steam
26 апреля  Добро пожаловать на борт Астрального экспресса - Honkai: Star Rail стала доступна
26 апреля  Приключенческая игра про ниндзя Katana-Ra: Shinobi Rising вышла для ПК в Steam
25 апреля  Олдскульная ARPG Trinity Trigger вышла на ПК, Nintendo Switch, PlayStation 4 и PlayStation 5
25 апреля  Состоялся релиз доисторической RPG Roots of Pacha, вдохновленной Stardew Valley, где вы сможете подружиться с мамонтом
25 апреля  Состоялся релиз приключенческого экшена Strayed Lights на ПК и консолях
25 апреля  Состоялся релиз полной версии стратегии на выживание Stranded: Alien Dawn Lands на ПК и консолях
25 апреля  Красочная метроидвания Afterimage стала доступна для ПК и консолей
25 апреля  Тактическая игра War Mongrels вышла для PS5, Xbox Series, PS4 и Xbox One
25 апреля  TramSim: Console Edition стала доступна на PlayStation и Xbox
25 апреля  Стало доступно коллекционное издание Medieval Dynasty
25 апреля  РПГ-симулятор мага Archmage Rises вышел в раннем доступе в Steam
24 апреля  Состоялся релиз в раннем доступе амбициозного научно-фантастического стелс-детектива Shadows of Doubt
24 апреля  Состоялся релиз двухмерного научно-фантастического платформера Transmogrify
24 апреля  Японская ролевая игра-рогалик MISTROGUE: Mist and the Living Dungeons вышла в раннем доступе Steam
24 апреля  Нейросетевой эксперимент Square Enix оказался полным провалом
23 апреля  Одна из худших игр прошлого года вернулась: Xel выходит на консолях!
22 апреля  2D-экшен-платформер Wild Dogs вышел для Nintendo Switch, PlayStation, Xbox и ПК
22 апреля  Полная версия шутера Bone Dust вышла для ПК в Steam
22 апреля  Coffee Talk Episode 2: Hibiscus & Butterfly стала доступна для ПК и консолей
22 апреля  Приключенческий платформер ITorah стал доступен на консолях
22 апреля  The Mortuary Assistant теперь доступна на Switch
21 апреля  Тактическая ролевая игра от российских разработчиков Black Book стала доступна для устройств iOS
21 апреля  Состоялся релиз VR версии фэнтези ретро-шутера Amid Evil
21 апреля  Состоялся релиз карточного баттлера Arcana of Paradise: The Tower для ПК и Nintendo Switch
